time,latitude,longitude,depth,mag,region
2020-09-30T20:48:01.256Z,7.8599,127.0387,44.34,4,57 km ENE of Kinablangan  Philippines
2020-09-30T21:08:08.342Z,9.1581,126.6167,10,4.6,43 km ENE of La Paz  Philippines
2020-09-30T21:13:10.357Z,9.2094,126.7568,10,4.6,59 km ENE of La Paz  Philippines
2020-09-30T22:10:47.184Z,9.2267,126.7042,10,5.1,55 km ENE of La Paz  Philippines
2020-09-30T22:16:59.500Z,9.1325,126.6122,10,4.4,41 km ENE of La Paz  Philippines
2020-10-01T03:08:46.766Z,9.6862,127.2006,10,4.4,119 km ENE of Cortes  Philippines
2020-10-01T04:14:54.422Z,9.3704,127.179,10,4.3,108 km E of Cortes  Philippines
2020-10-01T06:59:22.723Z,9.4225,127.2024,10,4.3,112 km E of Cortes  Philippines
2020-10-02T01:40:07.888Z,10.7875,126.2756,10,4.5,51 km ESE of Sulangan  Philippines
2020-10-03T05:03:47.399Z,13.5738,120.9304,177.14,4.7,7 km N of Balatero  Philippines
2020-10-03T22:19:29.574Z,9.2532,126.3193,39.88,4.6,14 km ESE of Cortes  Philippines
2020-10-04T18:16:53.824Z,13.6082,120.7526,121,5.6,14 km WSW of Tingloy  Philippines
2020-10-05T08:35:13.396Z,10.3752,126.2001,54.86,4.5,43 km NNE of Santa Monica  Philippines
2020-10-05T09:36:56.371Z,10.3199,126.0057,61.1,4.3,33 km N of Santa Monica  Philippines
2020-10-05T11:20:20.480Z,8.6575,125.9797,118.56,4.5,2 km NNW of Los Arcos  Philippines
2020-10-06T13:22:02.275Z,9.5863,126.6861,10,4.8,64 km ENE of Cortes  Philippines
2020-10-06T20:49:29.398Z,9.8413,126.856,10,4.4,82 km E of Union  Philippines
2020-10-06T21:18:04.990Z,9.7097,126.3434,10,4.5,26 km ESE of Union  Philippines
2020-10-06T21:29:06.790Z,9.7633,126.3368,10,4.6,24 km E of Union  Philippines
2020-10-06T21:45:21.823Z,9.9221,126.4609,10,4.4,40 km E of Pilar  Philippines
2020-10-06T22:06:03.895Z,9.7346,126.3234,10,4.4,23 km E of Union  Philippines
2020-10-07T00:32:06.980Z,9.6359,126.1821,18.26,4.4,15 km SSE of Union  Philippines
2020-10-07T15:22:15.683Z,8.6939,125.9612,10,4.3,7 km NNW of Los Arcos  Philippines
2020-10-09T10:42:34.948Z,9.8889,126.6263,10,4.3,57 km E of Pilar  Philippines
2020-10-10T01:18:15.922Z,9.936,125.9545,96.1,4.3,6 km WSW of San Benito  Philippines
2020-10-12T19:21:40.276Z,9.7721,126.0146,91.55,4.8,4 km WNW of Dapa  Philippines
