time,latitude,longitude,depth,mag,region
2021-06-07T00:51:44.500Z,2.8488,128.5901,175.23,4.3,139 km NNE of Tobelo  Indonesia
2021-06-07T07:16:28.415Z,2.8449,127.6775,35,4.2,128 km NNW of Tobelo  Indonesia
2021-06-07T14:14:18.132Z,8.6447,127.0288,10,4.3,82 km ENE of Hinatuan  Philippines
2021-06-09T03:05:27.247Z,3.3687,126.5437,63.04,4.4,243 km NW of Tobelo  Indonesia
2021-06-09T08:11:08.280Z,9.085,126.1551,76.49,4.5,3 km S of Buenavista  Philippines
2021-06-09T18:49:36.060Z,5.8057,126.221,111.39,4.5,61 km S of Pondaguitan  Philippines
2021-06-09T22:00:32.741Z,3.3856,126.7122,35,4.5,233 km NW of Tobelo  Indonesia
2021-06-10T02:42:25.419Z,5.8647,126.2193,67.08,4.9,55 km S of Pondaguitan  Philippines
2021-06-11T21:37:56.209Z,6.067,126.1689,102.46,4.3,32 km S of Pondaguitan  Philippines
2021-06-13T01:14:51.824Z,1.364,124.4511,207.89,5,39 km W of Tomohon  Indonesia
2021-06-14T11:44:57.174Z,2.9379,127.3559,77.17,4.2,152 km NNW of Tobelo  Indonesia
2021-06-14T14:38:41.447Z,7.7102,124.967,5.86,5.7,5 km NW of Don Carlos  Philippines
2021-06-14T14:49:44.579Z,7.8263,125.005,10,4.7,4 km WSW of Dologon  Philippines
2021-06-14T14:49:54.793Z,7.5814,124.9042,10,5.3,2 km SSW of Kadingilan  Philippines
2021-06-14T14:56:14.457Z,7.7121,124.9707,10,4.3,5 km NW of Don Carlos  Philippines
2021-06-14T14:59:44.957Z,7.7497,124.9362,10,4.5,7 km W of Maramag  Philippines
2021-06-14T15:44:24.892Z,7.6354,124.7796,10,4.3,5 km NW of Osias  Philippines
2021-06-14T18:06:48.184Z,4.7832,125.8752,61.11,4.2,82 km SSE of Sarangani  Philippines
2021-06-15T06:15:44.541Z,7.0689,123.6684,10,4.5,47 km W of Rimpeso  Philippines
2021-06-15T13:40:11.795Z,5.0793,125.8756,149.96,4.5,58 km SE of Sarangani  Philippines
2021-06-17T01:04:37.197Z,9.0812,125.9583,10,4.3,12 km N of San Miguel  Philippines
2021-06-18T01:13:40.990Z,7.6462,124.7356,10,4.3,8 km ESE of Wao  Philippines
2021-06-18T12:59:52.946Z,3.4428,126.8404,35,4.1,229 km NW of Tobelo  Indonesia
2021-06-18T18:40:57.781Z,6.9375,124.8181,10,4.3,4 km WSW of Dunguan  Philippines
2021-06-18T21:15:28.167Z,7.5677,124.8496,10,4.5,5 km SE of Osias  Philippines
2021-06-19T03:38:51.512Z,6.0662,126.7513,99.59,4.4,71 km ESE of Pondaguitan  Philippines
2021-06-20T01:37:02.703Z,6.07,126.1648,124.12,4.5,32 km S of Pondaguitan  Philippines
