time,latitude,longitude,depth,mag,region
2006-03-10T08:55:48.450Z,37.384,141.033,46.9,4.3,11 km SSE of Namie  Japan
2006-03-11T11:29:00.600Z,39.353,140.365,6.4,3.6,14 km SW of ?magari  Japan
2006-03-11T22:06:39.070Z,40.079,142.364,3.3,5,60 km NE of Miyako  Japan
2006-03-12T04:36:51.030Z,37.996,143.205,10,4.3,173 km ESE of Ishinomaki  Japan
2006-03-12T11:01:49.430Z,36.062,141.701,33.8,4,86 km ENE of Hasaki  Japan
2006-03-12T11:04:54.790Z,36.036,141.645,35,4.2,80 km ENE of Hasaki  Japan
2006-03-13T03:00:38.090Z,36.048,141.765,58,4.6,91 km ENE of Hasaki  Japan
2006-03-13T03:41:21.470Z,36.235,140.1,55.6,4.2,3 km S of Makabe  Japan
2006-03-13T04:06:09.350Z,36.057,141.766,59,5.1,near the east coast of Honshu  Japan
2006-03-13T04:15:33.930Z,36.041,141.528,33.9,5,71 km ENE of Hasaki  Japan
2006-03-13T06:55:52.420Z,35.981,141.587,31.5,4.7,73 km ENE of Hasaki  Japan
2006-03-15T03:25:16.600Z,41.422,142.049,100,4.1,71 km ENE of Mutsu  Japan
2006-03-18T12:19:22.340Z,41.486,141.873,100,4.2,59 km ENE of Mutsu  Japan
2006-03-19T07:27:46.560Z,38.674,141.686,89,4.1,44 km NE of Ishinomaki  Japan
2006-03-19T13:47:19.870Z,39.366,139.612,35,4,47 km NW of Yuza  Japan
2006-03-22T11:16:18.200Z,37.709,142.565,30.2,4.2,135 km SE of Ishinomaki  Japan
2006-03-22T18:36:33.100Z,41.614,139.314,187.5,4,113 km WSW of Kamiiso  Japan
2006-03-22T23:09:37.150Z,42.662,141.777,132.4,4,14 km E of Tomakomai  Japan
2006-03-23T14:03:46.640Z,36.059,139.78,89.4,4.4,4 km SSW of Sakai  Japan
2006-03-23T22:59:08.580Z,38.866,141.668,69.2,3.9,near the east coast of Honshu  Japan
2006-03-24T22:16:02.480Z,42.325,142.983,51,4.8,50 km E of Shizunai-furukawach?  Japan
2006-03-25T16:51:55.470Z,36.246,140.578,68,4.1,7 km S of ?arai  Japan
2006-03-26T09:47:52.670Z,40.678,142.68,22.9,3.5,101 km E of Hachinohe  Japan
2006-03-29T04:08:00.090Z,36.481,141.182,68.5,4.3,49 km ESE of Takahagi  Japan
2006-03-29T10:28:40.480Z,37.188,141.468,78.6,4.6,52 km SE of Namie  Japan
