case_id,region,label,predicted_label,evaluable,observation_start,cutoff,evidence_event_count,hazard_evidence,fused_confidence,dominant_pattern,dominant_expert,outcome
japan_2007_control,Japan,0,0,1,2006-03-10T05:46:24Z,2007-03-10T05:46:24Z,374,0.675643,0.921227,SUBDUCTION_PREPARATION,baseline,TRUE_NEGATIVE
japan_2008_control,Japan,0,0,1,2007-03-10T05:46:24Z,2008-03-10T05:46:24Z,398,0.674909,0.952159,SUBDUCTION_PREPARATION,baseline,TRUE_NEGATIVE
japan_2009_control,Japan,0,0,1,2008-03-10T05:46:24Z,2009-03-10T05:46:24Z,756,0.657043,0.955290,SUBDUCTION_PREPARATION,baseline,TRUE_NEGATIVE
japan_2010_control,Japan,0,0,1,2009-03-10T05:46:24Z,2010-03-10T05:46:24Z,181,0.646327,0.878799,SUBDUCTION_PREPARATION,baseline,TRUE_NEGATIVE
japan_2011_positive,Japan,1,1,1,2010-03-10T05:46:24Z,2011-03-10T05:46:24Z,235,0.780870,0.953963,SUBDUCTION_PREPARATION,baseline,HIT
russia_2021_control,Russia,0,0,1,2020-07-28T23:24:52Z,2021-07-28T23:24:52Z,199,0.693084,0.869401,SUBDUCTION_PREPARATION,baseline,TRUE_NEGATIVE
russia_2022_control,Russia,0,0,1,2021-07-28T23:24:52Z,2022-07-28T23:24:52Z,139,0.624656,0.841027,SUBDUCTION_PREPARATION,baseline,TRUE_NEGATIVE
russia_2023_control,Russia,0,0,1,2022-07-28T23:24:52Z,2023-07-28T23:24:52Z,214,0.652018,0.879407,SUBDUCTION_PREPARATION,baseline,TRUE_NEGATIVE
russia_2024_control,Russia,0,0,1,2023-07-28T23:24:52Z,2024-07-28T23:24:52Z,155,0.610152,0.880167,SUBDUCTION_PREPARATION,baseline,TRUE_NEGATIVE
russia_2025_positive,Russia,1,1,1,2024-07-28T23:24:52Z,2025-07-28T23:24:52Z,626,0.850781,0.910297,SUBDUCTION_PREPARATION,baseline,HIT
cebu_2021_control,Cebu,0,0,1,2020-09-29T13:59:43Z,2021-09-29T13:59:43Z,285,0.620113,0.872143,SUBDUCTION_PREPARATION,baseline,TRUE_NEGATIVE
cebu_2022_control,Cebu,0,0,1,2021-09-29T13:59:43Z,2022-09-29T13:59:43Z,249,0.673822,0.847420,SUBDUCTION_PREPARATION,baseline,TRUE_NEGATIVE
cebu_2023_control,Cebu,0,0,1,2022-09-29T13:59:43Z,2023-09-29T13:59:43Z,269,0.623293,0.861208,SUBDUCTION_PREPARATION,baseline,TRUE_NEGATIVE
cebu_2024_control,Cebu,0,0,1,2023-09-29T13:59:43Z,2024-09-29T13:59:43Z,1184,0.535493,0.874117,SUBDUCTION_PREPARATION,baseline,TRUE_NEGATIVE
cebu_2025_positive,Cebu,1,0,1,2024-09-29T13:59:43Z,2025-09-29T13:59:43Z,236,0.602291,0.841350,SUBDUCTION_PREPARATION,baseline,MISS
davao_2022_control,Davao,0,0,1,2021-06-06T23:37:41Z,2022-06-06T23:37:41Z,726,0.673393,0.867521,SUBDUCTION_PREPARATION,baseline,TRUE_NEGATIVE
davao_2023_control,Davao,0,0,1,2022-06-06T23:37:41Z,2023-06-06T23:37:41Z,734,0.722294,0.861616,SUBDUCTION_PREPARATION,baseline,TRUE_NEGATIVE
davao_2024_control,Davao,0,0,1,2023-06-06T23:37:41Z,2024-06-06T23:37:41Z,1391,0.614436,0.876635,SUBDUCTION_PREPARATION,baseline,TRUE_NEGATIVE
davao_2025_control,Davao,0,0,1,2024-06-06T23:37:41Z,2025-06-06T23:37:41Z,597,0.628926,0.866145,SUBDUCTION_PREPARATION,baseline,TRUE_NEGATIVE
davao_2026_positive,Davao,1,0,1,2025-06-06T23:37:41Z,2026-06-06T23:37:41Z,906,0.685162,0.872197,SUBDUCTION_PREPARATION,baseline,MISS
venezuela_2022_control,Venezuela,0,NA,0,2021-06-23T22:05:11Z,2022-06-23T22:05:11Z,8,NA,NA,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED
venezuela_2023_control,Venezuela,0,NA,0,2022-06-23T22:05:11Z,2023-06-23T22:05:11Z,10,NA,NA,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED
venezuela_2024_control,Venezuela,0,NA,0,2023-06-23T22:05:11Z,2024-06-23T22:05:11Z,14,NA,NA,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED
venezuela_2025_control,Venezuela,0,NA,0,2024-06-23T22:05:11Z,2025-06-23T22:05:11Z,8,NA,NA,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED
venezuela_2026_positive,Venezuela,1,0,1,2025-06-23T22:05:11Z,2026-06-23T22:05:11Z,33,0.514422,0.954718,SUBDUCTION_PREPARATION,baseline,MISS
