time,latitude,longitude,depth,mag,region
2020-08-07T03:41:13.613Z,52.4192,159.0138,79.28,4.9,70 km SE of Vilyuchinsk  Russia
2020-08-08T04:24:18.813Z,50.7806,156.9727,108.13,4.4,60 km E of Severo-Kuril’sk  Russia
2020-08-09T22:40:07.467Z,51.0455,156.4928,115.24,4.5,48 km NNE of Severo-Kuril’sk  Russia
2020-08-10T20:26:54.708Z,48.9648,157.9677,10,4.4,231 km SE of Severo-Kuril’sk  Russia
2020-08-18T08:41:18.845Z,54.9121,162.2109,35.81,4.4,147 km S of Ust’-Kamchatsk Staryy  Russia
2020-08-22T20:57:41.667Z,53.1547,160.1788,52.39,4.3,103 km E of Petropavlovsk-Kamchatsky  Russia
2020-08-23T14:46:45.679Z,49.627,156.4855,35,4.3,119 km SSE of Severo-Kuril’sk  Russia
2020-08-25T21:53:48.760Z,53.0322,159.8438,68.58,4.7,80 km E of Petropavlovsk-Kamchatsky  Russia
2020-08-26T07:21:11.419Z,54.2648,160.5106,111.87,4.1,131 km ESE of Mil’kovo  Russia
2020-08-28T15:15:58.286Z,55.445,162.7198,17.37,4.6,88 km S of Ust’-Kamchatsk Staryy  Russia
2020-09-02T07:26:42.122Z,52.3395,157.4655,143.28,4.3,87 km SW of Paratunka  Russia
2020-09-04T21:10:17.081Z,52.1823,160.305,35,4.7,147 km SE of Petropavlovsk-Kamchatsky  Russia
2020-09-04T21:14:26.087Z,52.2126,160.1111,35,4.7,135 km SE of Petropavlovsk-Kamchatsky  Russia
2020-09-04T21:50:20.209Z,52.4642,159.8857,35,4.4,105 km SE of Petropavlovsk-Kamchatsky  Russia
2020-09-04T23:01:46.198Z,51.7968,160.1386,10,4.2,171 km SE of Petropavlovsk-Kamchatsky  Russia
2020-09-05T00:21:26.360Z,52.3217,160.0393,35,4.7,123 km SE of Petropavlovsk-Kamchatsky  Russia
2020-09-07T19:12:42.335Z,51.6975,160.2798,10,4.3,186 km SE of Petropavlovsk-Kamchatsky  Russia
2020-09-09T22:11:29.562Z,50.9339,156.7518,90.49,4.4,52 km ENE of Severo-Kuril’sk  Russia
2020-09-13T12:13:04.963Z,55.3467,163.0518,8.8,4.4,104 km SSE of Ust’-Kamchatsk Staryy  Russia
2020-09-14T01:15:26.281Z,55.1185,164.8494,10,4.4,193 km SE of Ust’-Kamchatsk Staryy  Russia
2020-09-14T07:43:30.445Z,55.559,160.7678,162.41,4.4,71 km E of Atlasovo  Russia
2020-09-14T10:08:40.643Z,51.0578,157.1267,81.22,4.5,65 km SE of Ozernovskiy  Russia
2020-09-15T03:41:28.036Z,55.9733,158.3783,344,6.4,21 km WNW of Esso  Russia
2020-09-17T03:59:32.742Z,51.0481,157.7829,61.96,4.3,102 km ESE of Ozernovskiy  Russia
