time,latitude,longitude,depth,mag,region
2021-07-16T09:26:16.536Z,8.8365,-70.5486,16.68,4.4,17 km WNW of Barinitas  Venezuela
2021-08-26T01:40:50.614Z,9.588,-69.2393,10,4.8,0 km N of Araure  Venezuela
2021-09-25T16:39:45.080Z,10.243,-69.6961,19.94,4.6,35 km NNW of Quíbor  Venezuela
2022-03-01T07:59:12.702Z,9.0401,-71.1107,10,4.2,50 km N of Mérida  Venezuela
2022-03-01T17:28:48.418Z,8.9759,-71.0695,23.02,4.4,43 km NNE of Mérida  Venezuela
2022-03-15T17:06:47.299Z,9.1959,-66.6151,10,4.5,66 km W of Valle de La Pascua  Venezuela
2022-04-29T10:11:59.279Z,9.6447,-69.457,10,4.2,24 km WNW of Araure  Venezuela
2022-06-08T04:39:19.425Z,8.6017,-71.4059,10,4.5,Merida  Venezuela
2022-07-07T02:34:33.050Z,10.0669,-70.7265,10,4.3,58 km E of Lagunillas  Venezuela
2022-08-13T07:10:07.001Z,8.6338,-71.524,10,4.4,14 km E of El Vigía  Venezuela
2022-09-13T14:14:01.239Z,10.4844,-65.2776,6.358,4.7,75 km WNW of Barcelona  Venezuela
2022-09-18T02:11:43.003Z,9.1934,-69.994,10,4.3,32 km WNW of Guanare  Venezuela
2022-10-10T17:08:24.729Z,11.0168,-71.1066,46.589,4.3,67 km NE of Maracaibo  Venezuela
2023-01-02T18:08:00.212Z,9.7528,-69.6309,10,4.5,18 km ESE of El Tocuyo  Venezuela
2023-03-03T20:10:19.597Z,8.2866,-72.2121,13.978,4.6,8 km NNE of La Fría  Venezuela
2023-03-19T17:42:00.076Z,11.6448,-72.3136,65.712,4.3,9 km SW of Uribia  Colombia
2023-03-28T17:13:40.874Z,12.6167,-70.9912,47.638,4.5,near the coast of Venezuela
2023-04-30T04:59:17.552Z,9.3074,-69.804,10,4.6,Lara - Portuguesa region  Venezuela
2023-06-30T04:23:10.650Z,12.9502,-70.6809,27.654,4.5,132 km NNW of Santa Cruz de los Taques  Venezuela
2023-11-09T02:01:27.144Z,11.6278,-70.305,21.831,4.1,10 km WSW of Punta Cardón  Venezuela
2023-12-07T15:23:35.807Z,10.6659,-65.0829,10,4.6,67 km N of Puerto Píritu  Venezuela
2023-12-26T16:11:31.567Z,10.915,-70.5127,25.954,4.5,21 km ESE of Dabajuro  Venezuela
2023-12-28T06:51:58.594Z,10.9242,-70.49,17.868,4.4,23 km ESE of Dabajuro  Venezuela
2024-01-25T09:41:10.327Z,9.3386,-70.3853,10,4.4,6 km ESE of Trujillo  Venezuela
2024-02-21T03:40:15.949Z,9.3413,-70.0616,10,4.1,22 km ENE of Boconó  Venezuela
2024-03-28T23:23:45.752Z,9.6383,-69.977,10.208,4.9,26 km SW of El Tocuyo  Venezuela
2024-03-29T03:02:29.967Z,9.5397,-69.904,13.324,4.3,29 km SSW of El Tocuyo  Venezuela
2024-04-07T08:03:44.436Z,10.47,-65.0787,10,4.5,45 km N of Puerto Píritu  Venezuela
2024-05-03T12:04:36.516Z,9.6863,-72.7936,12.168,4.6,49 km SSW of Machiques  Venezuela
2024-05-19T18:31:00.300Z,10.711,-65.6449,10,4.6,55 km ENE of Higuerote  Venezuela
2024-05-25T18:01:41.794Z,11.8202,-69.0665,10,4.4,48 km NE of Puerto Cumarebo  Venezuela
2024-06-05T03:31:25.902Z,8.8767,-71.219,17.142,4.6,11 km SSE of Tucaní  Venezuela
2024-07-25T03:09:54.655Z,10.6476,-64.5527,10,4.4,33 km WNW of Araya  Venezuela
2024-07-25T14:11:06.526Z,9.897,-70.7223,18.897,4.7,23 km ENE of Mene Grande  Venezuela
2024-08-09T11:22:19.099Z,10.7573,-69.1997,10,4.6,48 km NW of Aroa  Venezuela
2024-08-29T14:19:02.277Z,9.8803,-70.8093,17.254,4.5,13 km ENE of Mene Grande  Venezuela
2024-09-01T07:47:45.808Z,9.9218,-70.5465,10.616,4.4,42 km ENE of Mene Grande  Venezuela
2024-10-31T23:39:21.246Z,12.3764,-68.991,10,4.4,73 km WNW of Dorp Rincon  Bonaire  Saint Eustatius and Saba 
2024-11-13T01:42:58.771Z,11.035,-72.3377,10,4.1,31 km ESE of Albania  Colombia
2024-12-24T09:11:50.544Z,10.7353,-68.7586,10,4.6,17 km NNW of Yumare  Venezuela
2025-06-28T05:35:18.025Z,11.0653,-69.1312,10,4.2,52 km SSE of Puerto Cumarebo  Venezuela
2025-08-27T20:10:10.376Z,8.8122,-71.2831,14.52,4.4,17 km S of Tucaní  Venezuela
2025-09-24T21:50:34.896Z,9.9384,-70.7343,10,4.2,23 km ENE of Mene Grande  Venezuela
2025-09-24T22:21:55.716Z,9.8668,-70.8781,9,6.2,5 km ENE of Mene Grande  Venezuela
2025-09-24T22:33:10.557Z,9.9192,-70.6755,10,4.9,28 km ENE of Mene Grande  Venezuela
2025-09-24T22:52:14.775Z,9.9265,-70.8178,10,4.6,14 km NE of Mene Grande  Venezuela
2025-09-25T00:01:19.944Z,9.8027,-70.6325,13.602,4.4,32 km E of Mene Grande  Venezuela
2025-09-25T01:18:41.190Z,9.8774,-70.8406,10,4.3,10 km ENE of Mene Grande  Venezuela
2025-09-25T02:42:37.878Z,9.7941,-70.7163,10,4.9,23 km ESE of Mene Grande  Venezuela
2025-09-25T03:51:39.565Z,9.9355,-70.7081,14,6.3,25 km ENE of Mene Grande  Venezuela
2025-09-25T04:11:37.056Z,9.7922,-70.8698,10,4.4,8 km SE of Mene Grande  Venezuela
2025-09-25T04:24:14.330Z,9.825,-70.7393,10,4.5,20 km E of Mene Grande  Venezuela
2025-09-25T06:42:53.539Z,9.7939,-70.7598,10,4.4,19 km ESE of Mene Grande  Venezuela
2025-09-25T06:55:38.881Z,9.8621,-70.7516,12.195,5.3,19 km E of Mene Grande  Venezuela
2025-09-25T11:28:22.661Z,9.9307,-70.7656,20.305,4.5,19 km ENE of Mene Grande  Venezuela
2025-09-30T11:06:21.244Z,9.8894,-70.9702,10,4.5,6 km NW of Mene Grande  Venezuela
2025-10-08T18:27:24.778Z,11.8935,-70.6363,76.14,4.4,42 km W of Santa Cruz de los Taques  Venezuela
2025-10-13T16:54:33.656Z,8.9324,-66.8932,8.446,4.3,53 km SSE of El Sombrero  Venezuela
2025-10-15T09:30:26.633Z,9.8723,-70.7667,10,4.4,17 km E of Mene Grande  Venezuela
2025-10-15T10:12:04.411Z,9.9182,-70.7624,10,4.5,19 km ENE of Mene Grande  Venezuela
2025-10-21T07:32:31.903Z,12.2142,-64.7835,10,4.5,153 km NW of Juan Griego  Venezuela
2025-10-24T21:30:52.388Z,11.3798,-71.8215,96.556,4.7,45 km E of Maicao  Colombia
2025-10-31T05:13:02.660Z,9.7865,-70.7547,10,4.1,19 km ESE of Mene Grande  Venezuela
2025-12-02T04:48:24.805Z,9.9404,-70.8134,10,4.6,16 km NE of Mene Grande  Venezuela
2025-12-08T02:27:14.174Z,12.0222,-69.6299,10,4.5,32 km ENE of Pueblo Nuevo  Venezuela
2026-01-01T12:37:06.282Z,10.4676,-72.1167,25.47,4.6,26 km NE of La Villa del Rosario  Venezuela
2026-01-05T11:32:18.064Z,10.7686,-70.0154,10,4.3,66 km N of Carora  Venezuela
2026-02-08T17:20:51.188Z,9.9117,-70.585,31.523,4.3,38 km E of Mene Grande  Venezuela
2026-05-15T23:21:36.848Z,10.5399,-72.4762,10,4.4,29 km NW of La Villa del Rosario  Venezuela
2026-05-17T01:46:07.010Z,10.6158,-66.5378,10,3.8,15 km N of Guatire  Venezuela
2026-06-04T23:41:15.280Z,9.6411,-70.0077,10,4.8,28 km SW of El Tocuyo  Venezuela
2026-06-14T00:39:48.528Z,9.2573,-69.677,27.145,4.3,24 km W of Ospino  Venezuela
2026-06-18T01:23:29.204Z,9.2935,-69.93,10,4.7,34 km NW of Guanare  Venezuela
2026-06-24T22:04:34.363Z,10.4085,-68.5571,27.588,7.2,21 km ENE of San Felipe  Venezuela
